Championship Title,Team A,Team B,Match Time,Score Team A,Score Team B,Winner
تصفيات أمم إفريقيا,مصر,اثيوبيا,19:00,1,0,مصر
تصفيات أمم إفريقيا,بوركينا فاسو,إيسواتيني,22:00,0,0,Draw
تصفيات أمم إفريقيا,مالي,جنوب السودان,22:00,4,0,مالي
تصفيات أمم أوروبا,جورجيا,إسبانيا,19:00,1,7,إسبانيا
تصفيات أمم أوروبا,قبرص,إسكتلندا,21:45,0,3,إسكتلندا
تصفيات أمم أوروبا,كرواتيا,لاتفيا,21:45,5,0,كرواتيا
تصفيات أمم أوروبا,تركيا,أرمينيا,21:45,1,1,Draw
تصفيات أمم أوروبا,سلوفاكيا,البرتغال,21:45,0,1,البرتغال
تصفيات أمم أوروبا,البوسنة والهرسك,ليشتنشتاين,21:45,2,1,البوسنة والهرسك
تصفيات أمم أوروبا,لوكسمبرج,أيسلندا,21:45,3,1,لوكسمبرج
بطولة إفريقيا للكرة الطائرة للرجال,رواندا,تنزانيا,13:00,3,1,رواندا
بطولة إفريقيا للكرة الطائرة للرجال,الكاميرون,بوروندي,13:00,3,0,الكاميرون
بطولة إفريقيا للكرة الطائرة للرجال,تشاد‎,جامبيا,15:00,3,1,تشاد‎
بطولة إفريقيا للكرة الطائرة للرجال,تونس‎,السنغال,15:00,3,0,تونس‎
بطولة إفريقيا للكرة الطائرة للرجال,الجزائر,غانا,17:00,3,0,الجزائر
بطولة إفريقيا للكرة الطائرة للرجال,المغرب,مالي,17:00,3,0,المغرب
بطولة إفريقيا للكرة الطائرة للرجال,مصر,كينيا,19:00,3,0,مصر
كأس العالم لكرة السلة,صربيا,كندا,11:45,95,86,صربيا
كأس العالم لكرة السلة,الولايات المتحدة,ألمانيا,15:40,111,113,ألمانيا
تصفيات كأس العالم - أمريكا الجنوبية,باراجواي,بيرو,01:30,0,0,Draw
تصفيات كأس العالم - أمريكا الجنوبية,كولومبيا,فنزويلا,02:00,1,0,كولومبيا
تصفيات كأس العالم - أمريكا الجنوبية,الأرجنتين,إكوادور,03:00,1,0,الأرجنتين
مباريات ودية - منتخبات,السعودية,كوستاريكا,22:00,1,3,كوستاريكا
